# x  y  P(x,y)
    18    15   1.742218257782E-03
    18    16   1.739818260182E-03
    18    17   1.738808261192E-03
    18    18   1.739788260212E-03
    18    19   5.647084352916E-03

    19     0   9.458950541049E-03
    19     1   5.635314364686E-03
    19     2   5.554214445786E-03
    19     3   5.589184410816E-03
    19     4   5.593564406436E-03
    19     5   5.618714381286E-03
    19     6   5.612034387966E-03
    19     7   5.563464436536E-03
    19     8   5.609814390186E-03
    19     9   5.594654405346E-03
    19    10   5.626304373696E-03
    19    11   5.622484377516E-03
    19    12   5.616354383646E-03
    19    13   5.600554399446E-03
    19    14   5.600984399016E-03
    19    15   5.609854390146E-03
    19    16   5.633964366036E-03
    19    17   5.604044395956E-03
    19    18   5.649664350336E-03
    19    19   9.473770526229E-03

