# X  Y  P
# X=2*n1+n2, Y=sqrt(3)*n2, P=P[n2,n1]
15 15.5884572681 1.4532300000000000e-03
17 15.5884572681 1.4341300000000000e-03
19 15.5884572681 1.4034099999999999e-03
21 15.5884572681 1.3493400000000001e-03
23 15.5884572681 1.2837500000000000e-03
25 15.5884572681 1.1951700000000000e-03
27 15.5884572681 1.0920100000000000e-03
29 15.5884572681 9.9562000000000001e-04
31 15.5884572681 8.8239000000000004e-04
33 15.5884572681 7.7747000000000005e-04
35 15.5884572681 6.7893999999999995e-04
37 15.5884572681 5.8763000000000001e-04
39 15.5884572681 5.1756000000000003e-04
41 15.5884572681 4.5848999999999998e-04
43 15.5884572681 4.2955000000000001e-04
45 15.5884572681 4.1480999999999999e-04
47 15.5884572681 4.2518999999999999e-04
49 15.5884572681 4.6223999999999999e-04
51 15.5884572681 5.1725000000000002e-04
53 15.5884572681 5.9055000000000002e-04
55 15.5884572681 6.7927000000000005e-04
57 15.5884572681 7.8089999999999995e-04
59 15.5884572681 8.8542000000000004e-04
61 15.5884572681 9.8441999999999996e-04
63 15.5884572681 1.0964200000000001e-03
65 15.5884572681 1.1860000000000000e-03
67 15.5884572681 1.2763600000000000e-03

10 17.3205080757 1.4300700000000001e-03
12 17.3205080757 1.4837299999999999e-03
14 17.3205080757 1.5231800000000001e-03
16 17.3205080757 1.5162800000000001e-03
18 17.3205080757 1.4914800000000001e-03
20 17.3205080757 1.4231199999999999e-03
22 17.3205080757 1.3363699999999999e-03
24 17.3205080757 1.2348200000000000e-03
26 17.3205080757 1.1141499999999999e-03
28 17.3205080757 9.9372999999999996e-04
30 17.3205080757 8.6602000000000001e-04
32 17.3205080757 7.5157999999999996e-04
34 17.3205080757 6.3946999999999995e-04
36 17.3205080757 5.4067999999999998e-04
38 17.3205080757 4.5898999999999999e-04
40 17.3205080757 3.9999000000000002e-04
42 17.3205080757 3.5457000000000002e-04
44 17.3205080757 3.3304000000000000e-04
46 17.3205080757 3.3239000000000001e-04
48 17.3205080757 3.5274999999999998e-04
50 17.3205080757 3.9713999999999998e-04
52 17.3205080757 4.6234999999999999e-04
54 17.3205080757 5.4312000000000002e-04
56 17.3205080757 6.4178000000000000e-04
58 17.3205080757 7.4887000000000000e-04
60 17.3205080757 8.6302000000000004e-04
62 17.3205080757 9.9152000000000007e-04
64 17.3205080757 1.1136099999999999e-03
66 17.3205080757 1.2312400000000000e-03
68 17.3205080757 1.3374400000000001e-03

11 19.0525588833 1.5140900000000001e-03
13 19.0525588833 1.5790600000000000e-03
15 19.0525588833 1.5946700000000001e-03
17 19.0525588833 1.5779600000000000e-03
19 19.0525588833 1.5192599999999999e-03
21 19.0525588833 1.4333700000000000e-03
23 19.0525588833 1.3103600000000000e-03
25 19.0525588833 1.1715100000000000e-03
27 19.0525588833 1.0279300000000000e-03
29 19.0525588833 8.8478999999999999e-04
31 19.0525588833 7.4896999999999995e-04
33 19.0525588833 6.2624000000000002e-04
35 19.0525588833 5.1754000000000004e-04
37 19.0525588833 4.2287000000000000e-04
39 19.0525588833 3.5502000000000000e-04
41 19.0525588833 3.0613999999999999e-04
43 19.0525588833 2.7676000000000003e-04
45 19.0525588833 2.6604999999999999e-04
47 19.0525588833 2.7441000000000000e-04
49 19.0525588833 3.0802000000000000e-04
